"municipio","uf","populacao","ano_inicio","codigo_ibge","tipo","mes_inicio"
"Teresina","PI",902644,2025,2211001,"Metrô/VLT","01"
"Caucaia","CE",37573,2021,2303709,"Ônibus","09"
"Canoas","RS",359554,2024,4304606,"Ônibus","02"
"Itaboraí","RJ",24004,2025,3301900,"Ônibus","11"
"Luziânia","GO",218872,2023,5212501,"Ônibus","11"
"Ibirité","MG",178713,2023,3129806,"Ônibus","01"
"São Caetano do Sul","SP",172109,2023,3548807,"Ônibus","11"
"Itapetininga","SP",163774,2023,3522307,"Ônibus","12"
"Paranaguá","PR",149819,2022,4118204,"Ônibus","03"
"Balneário Camboriú","SC",148758,2023,4202008,"Ônibus","06"
"Sorriso","MT",120561,2025,5107925,"Ônibus","04"
"Formosa","GO",120478,2021,5208004,"Ônibus","08"
"Vilhena","RO",108528,2025,1100304,"Ônibus","08"
"Ituiutaba","MG",106397,2023,3134202,"Ônibus","07"
"Assis","SP",104642,2021,3504008,"Ônibus","03"
"Japeri","RJ",102149,2025,3302270,"Ônibus","05"
"Cacoal","RO",97637,2023,1100049,"Ônibus","02"
"São João del Rei","MG",94062,2025,3162500,"Ônibus","06"
"Itapeva","SP",92324,2021,3522406,"Ônibus","08"
"Cianorte","PR",82359,2023,4105508,"Ônibus","01"
"Lins","SP",76729,2023,3527108,"Ônibus","11"
"Araranguá","SC",75597,2023,4201406,"Ônibus","01"
"Irati","PR",70796,2025,4110706,"Ônibus","05"
"Tupã","SP",65416,2025,3555000,"Ônibus","05"
"Mariana","MG",64058,2022,3140001,"Ônibus","02"
"Penápolis","SP",63317,2025,3537305,"Ônibus","05"
"Porto Feliz","SP",58345,2023,3540606,"Ônibus","02"
"Pirapora","MG",57543,2022,3151206,"Ônibus","12"
"Santa Isabel","SP",54586,2023,3546801,"Ônibus","12"
"Guapimirim","RJ",543,2023,3301850,"Ônibus","29"
"Piedade","SP",54237,2023,3537800,"Ônibus","01"
"Lagoa da Prata","MG",53583,2021,3137205,"Ônibus","10"
"Parobé","RS",53555,2022,4314050,"Ônibus","03"
"Arthur Nogueira","SP",53157,2021,3503802,"Ônibus","01"
"Leopoldina","MG",52696,2023,3138401,"Ônibus","05"
"Jales","SP",50017,2023,3524808,"Ônibus","07"
"Palmas","PR",49891,2022,4117602,"Ônibus","10"
"Casimiro de Abreu","RJ",48563,2023,3301306,"Ônibus","09"
"Santa Cruz do Rio Pardo","SP",47677,2025,3546405,"Ônibus","04"
"Capão Bonito","SP",47403,2023,3510203,"Ônibus","12"
"São Lourenço","MG",46653,2022,3163706,"Ônibus","08"
"Cerquilho","SP",46217,2020,3511508,"Ônibus","10"
"Itararé","SP",45327,2021,3523206,"Ônibus","02"
"Mata de São João","BA",44839,2023,2921005,"Ônibus","12"
"Paracambi","RJ",43656,2023,3303609,"Ônibus","01"
"Arcos","MG",43348,2022,3104205,"Ônibus","09"
"Matinhos","PR",41416,2022,4115705,"Ônibus","06"
"São Fidélis","RJ",41197,2024,3304805,"Ônibus","12"
"Brumadinho","MG",40777,2023,3109006,"Ônibus","12"
"Ouro Branco","MG",40411,2022,3145901,"Ônibus","10"
"Caeté","MG",3985,2021,3110004,"Ônibus","07"
"Sarzedo","MG",39327,2023,3165537,"Ônibus","01"
"Rio Branco do Sul","PR",39307,2022,4122206,"Ônibus","02"
"Machado","MG",38831,2024,3139003,"Ônibus","10"
"Tietê","SP",3869,2023,3554508,"Ônibus","08"
"Piumhi","MG",37742,2023,3151503,"Ônibus","12"
"São Joaquim de Bicas","MG",36496,2021,3162922,"Ônibus","10"
"Portão","RS",35237,2022,4314803,"Ônibus","09"
"Forquilhinha","SC",33929,2023,4205456,"Ônibus","02"
"Ibaté","SP",3311,2023,3519303,"Ônibus","10"
"Garopaba","SC",32962,2023,4205704,"Ônibus","03"
"Tanguá","RJ",32858,2021,3305752,"Ônibus","09"
"Guararema","SP",32436,2025,3518305,"Ônibus","01"
"Claudio","MG",31665,2021,3116605,"Ônibus","03"
"Porto Belo","SC",3059,2026,4213500,"Ônibus","01"
"Conceição das Alagoas","MG",29949,2025,3117306,"Ônibus","12"
"Balneário Piçarras","SC",29725,2023,4212809,"Ônibus","06"
"Costa Rica","MS",28163,2021,5003256,"Ônibus","12"
"Bombinhas","SC",27732,2022,4202453,"Ônibus","04"
"São José da Lapa","MG",2771,2024,3162955,"Ônibus","06"
"Quatro Barras","PR",25109,2022,4120804,"Ônibus","03"
"Taquarituba","SP",24863,2022,3553807,"Ônibus","08"
"Brotas","SP",24423,2026,3507902,"Ônibus","01"
"Goiás","GO",24233,2021,5208905,"Ônibus","11"
"Carambeí","PR",24159,2023,4104659,"Ônibus","11"
"Ribas do Rio Pardo","MS",23996,2023,5007109,"Ônibus","07"
"Santo Antônio de Posse","SP",23779,2024,3548005,"Ônibus","02"
"Ivoti","RS",23533,2026,4310801,"Ônibus","05"
"Araçariguama","SP",22168,2021,3502754,"Ônibus","01"
"Conceição de Macabu","RJ",21769,2023,3301405,"Ônibus","06"
"Tambaú","SP",21682,2022,3553302,"Ônibus","08"
"Três Barras","SC",20373,2024,4218301,"Ônibus","10"
"Cantagalo","RJ",19996,2024,3301108,"Ônibus","01"
"Morretes","PR",18908,2024,4116208,"Ônibus","04"
"Nazaré Paulista","SP",1862,2023,3532405,"Ônibus","04"
"Antonina","PR",18223,2024,4101200,"Ônibus","06"
"Mendes","RJ",18049,2025,3302809,"Ônibus","04"
"Governador Celso Ramos","SC",1792,2023,4206009,"Ônibus","01"
"Carmo","RJ",1774,2023,3301207,"Ônibus","03"
"Balneário Arroio do Silva","SC",17215,2025,4201950,"Ônibus","09"
"São Lourenço da Serra","SP",16458,2021,3549953,"Ônibus","02"
"Natividade","RJ",1555,2026,3303104,"Ônibus","01"
"Clevelândia","PR",14975,2023,4105706,"Ônibus","04"
"Lauro Müller","SC",14622,2026,4209607,"Ônibus","02"
"Ilha Comprida","SP",13419,2025,3520426,"Ônibus","02"
"Dores do Indaiá","MG",12786,2022,3123205,"Ônibus","12"
"Pedro de Toledo","SP",11539,2025,3537206,"Ônibus","03"
"Igaratá","SP",10904,2025,3520202,"Ônibus","09"
"Vargem","SP",10805,2025,3556354,"Ônibus","12"
"Comendador Levy Gasparian","RJ",9044,2020,3300951,"Ônibus","06"
"Belo Vale","MG",8946,2023,3106408,"Ônibus","08"
"São Sebastião do Alto","RJ",7999,2023,3305307,"Ônibus","07"
"Palma","MG",7542,2025,3146701,"Ônibus","04"
"Ijaci","MG",7291,2025,3130408,"Ônibus","04"
"Tuiuti","SP",6947,2025,3554953,"Ônibus","01"
"Bela Vista do Toldo","SC",595,2025,4202131,"Ônibus","12"
"Dom Silvério","MG",535,2025,3122702,"Ônibus","02"
"Santana do Deserto","MG",3819,2021,3158607,"Ônibus","02"
