"municipio",mes_inicio
"Teresina",01
"Caucaia",09
"Canoas",02
"Itaboraí",11
"Luziânia",11
"Ibirité",01
"São Caetano do Sul",11
"Itapetininga",12
"Paranaguá",03
"Balneário Camboriú",06
"Sorriso",04
"Formosa",08
"Vilhena",08
"Ituiutaba",07
"Assis",03
"Japeri",05
"Cacoal",02
"São João del Rei",06
"Itapeva",08
"Cianorte",01
"Lins",11
"Araranguá",01
"Irati",05
"Tupã",05
"Mariana",02
"Penápolis",05
"Porto Feliz",02
"Pirapora",12
"Santa Isabel",12
"Guapimirim",29
"Piedade",01
"Lagoa da Prata",10
"Parobé",03
"Arthur Nogueira",01
"Leopoldina",05
"Jales",07
"Palmas",10
"Casimiro de Abreu",09
"Santa Cruz do Rio Pardo",04
"Capão Bonito",12
"São Lourenço",08
"Cerquilho",10
"Itararé",02
"Mata de São João",12
"Paracambi",01
"Arcos",09
"Matinhos",06
"São Fidélis",12
"Brumadinho",12
"Ouro Branco",10
"Caeté",07
"Sarzedo",01
"Rio Branco do Sul",02
"Machado",10
"Tietê",08
"Piumhi",12
"São Joaquim de Bicas",10
"Portão",09
"Forquilhinha",02
"Ibaté",10
"Garopaba",03
"Tanguá",09
"Guararema",01
"Claudio",03
"Porto Belo",01
"Conceição das Alagoas",12
"Balneário Piçarras",06
"Costa Rica",12
"Bombinhas",04
"São José da Lapa",06
"Quatro Barras",03
"Taquarituba",08
"Brotas",01
"Goiás",11
"Carambeí",11
"Ribas do Rio Pardo",07
"Santo Antônio de Posse",02
"Ivoti",05
"Araçariguama",01
"Conceição de Macabu",06
"Tambaú",08
"Três Barras",10
"Cantagalo",01
"Morretes",04
"Nazaré Paulista",04
"Antonina",06
"Mendes",04
"Governador Celso Ramos",01
"Carmo",03
"Balneário Arroio do Silva",09
"São Lourenço da Serra",02
"Natividade",01
"Clevelândia",04
"Lauro Müller",02
"Ilha Comprida",02
"Dores do Indaiá",12
"Pedro de Toledo",03
"Igaratá",09
"Vargem",12
"Comendador Levy Gasparian",06
"Belo Vale",08
"São Sebastião do Alto",07
"Palma",04
"Ijaci",04
"Tuiuti",01
"Bela Vista do Toldo",12
"Dom Silvério",02
"Santana do Deserto",02
